id,kind,evidence_id,stripe_charge_id,source_staged_payment_id,gross_amount,fee_amount,net_amount,currency,received_date,lifecycle
"pu_ch_1DRosoAhXr9x8yiR62TBJxRw","stripe_charge","ch_1DRosoAhXr9x8yiR62TBJxRw","ch_1DRosoAhXr9x8yiR62TBJxRw","","3.00","0.39","2.61","USD","2018-11-01","received"
"pu_ch_1DYKxBAhXr9x8yiRrB6NydXa","stripe_charge","ch_1DYKxBAhXr9x8yiRrB6NydXa","ch_1DYKxBAhXr9x8yiRrB6NydXa","","26.14","1.06","25.08","USD","2018-11-19","received"
"pu_ch_1Dg16AAhXr9x8yiR6Pg99erN","stripe_charge","ch_1Dg16AAhXr9x8yiR6Pg99erN","ch_1Dg16AAhXr9x8yiR6Pg99erN","","5.48","0.51","4.97","USD","2018-12-10","received"
"pu_ch_1DnaPrAhXr9x8yiRQ7GuxXDq","stripe_charge","ch_1DnaPrAhXr9x8yiRQ7GuxXDq","ch_1DnaPrAhXr9x8yiRQ7GuxXDq","","5165.60","150.10","5015.50","USD","2018-12-31","received"
"pu_ch_1FYg08AhXr9x8yiRtGy0nIhH","stripe_charge","ch_1FYg08AhXr9x8yiRtGy0nIhH","ch_1FYg08AhXr9x8yiRtGy0nIhH","","75.00","2.48","72.52","USD","2019-10-28","received"
"pu_ch_1FlbofAhXr9x8yiRANXZMlml","stripe_charge","ch_1FlbofAhXr9x8yiRANXZMlml","ch_1FlbofAhXr9x8yiRANXZMlml","","100.00","3.20","96.80","USD","2019-12-03","received"
"pu_ch_1FukggAhXr9x8yiRvTka5Jvf","stripe_charge","ch_1FukggAhXr9x8yiRvTka5Jvf","ch_1FukggAhXr9x8yiRvTka5Jvf","","1000.00","29.30","970.70","USD","2019-12-28","received"
"pu_ch_1GC65WAhXr9x8yiR0Oqrh0oA","stripe_charge","ch_1GC65WAhXr9x8yiR0Oqrh0oA","ch_1GC65WAhXr9x8yiR0Oqrh0oA","","26.19","1.06","25.13","USD","2020-02-14","received"
"pu_ch_1GOlp1AhXr9x8yiReTPP5N3Q","stripe_charge","ch_1GOlp1AhXr9x8yiReTPP5N3Q","ch_1GOlp1AhXr9x8yiReTPP5N3Q","","5.49","0.46","5.03","USD","2020-03-20","received"
"pu_ch_1GRWUMAhXr9x8yiRhkLkHegz","stripe_charge","ch_1GRWUMAhXr9x8yiRhkLkHegz","ch_1GRWUMAhXr9x8yiRhkLkHegz","","10.66","0.61","10.05","USD","2020-03-27","received"
